Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
HON,2008,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$23.84 B,$36.55 B,$3.52 B
HON,2009,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$29.95 B,$30.90 B,$3.43 B
HON,2010,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$41.62 B,$33.37 B,$3.22 B
HON,2011,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$42.03 B,$36.76 B,$2.68 B
HON,2012,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$49.68 B,$37.66 B,$4.22 B
HON,2013,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$71.61 B,$39.05 B,$5.73 B
HON,2014,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$78.15 B,$40.30 B,$6.13 B
HON,2015,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$79.82 B,$38.58 B,$6.89 B
HON,2016,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$88.29 B,$39.30 B,$6.78 B
HON,2017,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$116.06 B,$40.53 B,$7.21 B
HON,2018,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$96.39 B,$41.80 B,$7.85 B
HON,2019,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$125.86 B,$36.70 B,$7.91 B
HON,2020,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$149.24 B,$32.63 B,$6.37 B
HON,2021,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$143.54 B,$34.39 B,$7.57 B
HON,2022,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$144.07 B,$35.46 B,$6.79 B
HON,2023,Honeywell,USA,Dow jones|Aerospace|Defense contractors,$138.25 B,$36.66 B,$7.92 B
LDO.MI,2005,Leonardo,Italy,Aerospace|Defense contractors,$8.18 B,,
LDO.MI,2006,Leonardo,Italy,Aerospace|Defense contractors,$11.48 B,,
LDO.MI,2007,Leonardo,Italy,Aerospace|Defense contractors,$13.62 B,,
LDO.MI,2008,Leonardo,Italy,Aerospace|Defense contractors,$8.79 B,,
LDO.MI,2009,Leonardo,Italy,Aerospace|Defense contractors,$9.25 B,$25.67 B,$3.44 B
LDO.MI,2010,Leonardo,Italy,Aerospace|Defense contractors,$6.53 B,$24.54 B,$2.72 B
LDO.MI,2011,Leonardo,Italy,Aerospace|Defense contractors,$2.14 B,$23.83 B,$-1.7 B
LDO.MI,2012,Leonardo,Italy,Aerospace|Defense contractors,$3.32 B,$22.35 B,$-0.84 B
LDO.MI,2013,Leonardo,Italy,Aerospace|Defense contractors,$4.39 B,$20.55 B,$-.08 B
LDO.MI,2014,Leonardo,Italy,Aerospace|Defense contractors,$5.43 B,$18.46 B,$0.63 B
LDO.MI,2015,Leonardo,Italy,Aerospace|Defense contractors,$8.15 B,$14.37 B,$0.84 B
LDO.MI,2016,Leonardo,Italy,Aerospace|Defense contractors,$8.09 B,,$3.50 B
LDO.MI,2017,Leonardo,Italy,Aerospace|Defense contractors,$6.80 B,$13.05 B,$0.69 B
LDO.MI,2018,Leonardo,Italy,Aerospace|Defense contractors,$5.04 B,$14.33 B,$0.78 B
LDO.MI,2019,Leonardo,Italy,Aerospace|Defense contractors,$6.73 B,$15.41 B,$1.19 B
LDO.MI,2020,Leonardo,Italy,Aerospace|Defense contractors,$4.18 B,$15.64 B,$0.57 B
LDO.MI,2021,Leonardo,Italy,Aerospace|Defense contractors,$4.10 B,$16.41 B,$1.14 B
LDO.MI,2022,Leonardo,Italy,Aerospace|Defense contractors,$4.94 B,$15.50 B,$1.17 B
LDO.MI,2023,Leonardo,Italy,Aerospace|Defense contractors,$9.49 B,$16.62 B,$1.17 B
LHX,2001,L3Harris Technologies,USA,Defense contractors,$2.01 B,$1.90 B,$0.11 B
LHX,2002,L3Harris Technologies,USA,Defense contractors,$1.74 B,$1.95 B,$0.12 B
LHX,2003,L3Harris Technologies,USA,Defense contractors,$2.51 B,$2.28 B,$0.11 B
LHX,2004,L3Harris Technologies,USA,Defense contractors,$4.11 B,$2.75 B,$0.22 B
LHX,2005,L3Harris Technologies,USA,Defense contractors,$5.72 B,$3.19 B,$0.31 B
LHX,2006,L3Harris Technologies,USA,Defense contractors,$6.09 B,$3.83 B,$0.49 B
LHX,2007,L3Harris Technologies,USA,Defense contractors,$8.48 B,$4.82 B,$0.73 B
LHX,2008,L3Harris Technologies,USA,Defense contractors,$5.12 B,$5.65 B,$0.68 B
LHX,2009,L3Harris Technologies,USA,Defense contractors,$6.26 B,$4.53 B,$0.79 B
LHX,2010,L3Harris Technologies,USA,Defense contractors,$5.69 B,$5.62 B,$0.94 B
